pet_sale_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_29634,2017-04-05 00:00:00,2018-05-09 16:47:00,0.0,Brown,0.13,5.97,0,1,1,2
ANSL_45727,2017-10-04 00:00:00,2017-11-25 16:27:00,2.0,Orange Tabby,0.21,45.42,13,9,0,1
ANSL_12878,2014-07-13 00:00:00,2015-07-10 15:03:00,1.0,White,0.58,23.81,0,1,0,2
ANSL_16200,2011-12-31 00:00:00,2016-01-23 17:49:00,0.0,Fawn,0.9,45.03,0,7,1,2
ANSL_22442,2012-06-17 00:00:00,2015-12-23 12:33:00,2.0,Blue,0.3,46.21,7,1,1,1
ANSL_37201,2017-01-14 00:00:00,2018-02-28 16:01:00,0.0,Tortie,0.21,49.68,16,9,1,1
ANSL_46290,2017-06-13 00:00:00,2017-11-21 19:39:00,0.0,Brown,0.19,23.57,0,1,1,2
ANSL_30732,2014-02-11 00:00:00,2018-03-12 12:09:00,1.0,Black,0.83,41.53,0,7,0,2
ANSL_23517,2016-05-30 00:00:00,2016-07-05 14:51:00,,Black,0.55,38.29,13,9,2,1
ANSL_29796,2017-03-01 00:00:00,2017-05-23 12:42:00,1.0,Black,0.0,27.44,0,1,0,2
ANSL_11121,2013-12-02 00:00:00,2016-01-01 18:37:00,1.0,White,0.52,34.59,0,1,0,2
ANSL_28015,2014-03-20 00:00:00,2016-12-01 13:02:00,1.0,Red,0.5,14.9,0,1,0,2
ANSL_11260,2013-01-10 00:00:00,2015-10-16 16:16:00,0.0,Tan,0.28,28.68,0,1,1,2
ANSL_15672,2013-07-10 00:00:00,2015-10-04 12:12:00,0.0,White,0.96,33.63,0,7,1,2
ANSL_45529,2016-08-29 00:00:00,2016-11-18 18:10:00,1.0,White,0.46,48.14,0,1,0,2
ANSL_7693,2010-01-28 00:00:00,2016-01-06 16:38:00,1.0,White,0.38,5.11,0,7,0,2
ANSL_31488,2016-06-24 00:00:00,2017-12-01 00:00:00,0.0,Gray Tabby,0.89,9.03,0,1,1,1
ANSL_23256,2013-04-11 00:00:00,2016-05-15 18:00:00,1.0,White,0.97,12.86,0,1,0,2
ANSL_8006,2015-06-05 00:00:00,2015-06-27 13:36:00,2.0,White,0.46,10.99,0,7,0,2
ANSL_40650,2008-02-12 00:00:00,2017-03-05 17:53:00,2.0,Black,0.52,39.74,0,7,0,2
ANSL_21869,2015-05-22 00:00:00,2015-08-15 18:21:00,0.0,Brown Tabby,0.8,7.7,7,1,1,1
ANSL_25346,2015-12-09 00:00:00,2016-06-01 17:51:00,0.0,Sable,0.51,26.14,0,7,1,2
ANSL_37869,2017-09-02 00:00:00,2018-10-02 16:50:00,1.0,Brown,0.23,12.44,0,1,0,2
ANSL_44290,2018-02-24 00:00:00,2019-03-15 10:52:00,,Black,0.3,35.17,15,4,2,4
ANSL_30505,2003-08-29 00:00:00,2018-09-02 16:17:00,1.0,Blue Point,0.41,32.51,13,9,0,1
ANSL_47903,2016-06-21 00:00:00,2016-09-13 17:35:00,0.0,Blue Point,0.13,40.58,7,1,1,1
ANSL_12974,2010-06-20 00:00:00,2015-07-12 17:56:00,0.0,Black,0.16,26.15,0,7,1,2
ANSL_4670,2015-06-13 00:00:00,2015-11-09 11:37:00,1.0,Blue Tabby,0.95,18.47,7,1,0,1
ANSL_38117,2012-06-07 00:00:00,2018-06-29 12:48:00,0.0,White,0.34,23.27,0,1,1,1
ANSL_40818,2016-01-11 00:00:00,2017-07-27 00:00:00,0.0,Brown,0.12,8.93,13,9,1,2
ANSL_48992,2016-12-07 00:00:00,2017-01-19 13:53:00,2.0,Calico,0.18,19.05,13,9,1,1
ANSL_37973,2016-07-26 00:00:00,2018-08-18 12:21:00,1.0,Orange Tabby,0.8,43.59,0,7,0,1
ANSL_27073,2017-12-27 00:00:00,2018-03-19 17:14:00,0.0,Tan,0.71,35.19,0,1,1,2
ANSL_22440,2014-08-08 00:00:00,2015-06-16 18:34:00,0.0,White,0.26,31.15,0,1,1,2
ANSL_36847,2018-08-02 00:00:00,2018-12-23 15:04:00,2.0,Brown Tabby,0.38,24.52,18,4,0,1
ANSL_38413,2011-11-15 00:00:00,2016-12-08 16:08:00,2.0,White,0.68,6.37,13,9,0,4
ANSL_31189,2016-10-20 00:00:00,2018-11-14 17:57:00,2.0,Torbie,0.71,49.7,17,9,1,1
ANSL_32561,2018-07-01 00:00:00,2018-11-06 19:13:00,0.0,Blue,0.01,45.34,0,1,1,1
ANSL_33735,2014-07-19 00:00:00,2016-09-26 18:56:00,1.0,Cream Tabby,0.32,29.2,0,1,0,1
ANSL_15080,2014-12-29 00:00:00,2015-11-19 14:32:00,1.0,Black,0.72,12.27,0,1,0,2
ANSL_13876,2013-03-18 00:00:00,2015-04-17 17:28:00,1.0,White,0.48,34.47,13,9,0,2
ANSL_3490,2012-04-06 00:00:00,2015-07-29 14:29:00,1.0,Tan,0.78,30.12,0,1,0,2
ANSL_8152,2014-08-06 00:00:00,2015-08-27 12:54:00,,Gray,0.47,17.51,18,4,2,4
ANSL_42399,2018-09-03 00:00:00,2018-11-22 14:17:00,1.0,Brown Tabby,0.26,48.4,7,1,0,1
ANSL_33623,2016-07-28 00:00:00,2016-10-02 16:18:00,2.0,Tricolor,0.18,49.52,18,4,0,2
ANSL_46501,2017-08-13 00:00:00,2017-11-22 18:35:00,0.0,Black,0.97,8.17,0,1,1,2
ANSL_26376,2010-11-23 00:00:00,2016-05-22 09:07:00,0.0,Black,0.72,43.54,7,1,1,2
ANSL_10127,2012-02-12 00:00:00,2015-03-16 17:13:00,1.0,Black Brindle,0.84,27.74,0,1,0,2
ANSL_45745,2016-12-03 00:00:00,2017-12-30 17:56:00,0.0,Black,0.75,37.92,0,7,1,1
ANSL_6082,2013-04-20 00:00:00,2015-05-15 14:27:00,2.0,Calico,0.79,9.7,2,2,1,1
ANSL_3529,2014-11-26 00:00:00,2015-04-25 12:25:00,0.0,White,0.28,38.61,7,1,1,2
ANSL_12292,2014-12-21 00:00:00,2015-03-10 09:22:00,1.0,Brown Brindle,0.9,19.56,7,1,0,2
ANSL_1763,2013-04-05 00:00:00,2015-07-08 19:16:00,0.0,White,0.9,42.82,0,1,1,2
ANSL_39322,2014-09-24 00:00:00,2016-10-17 15:23:00,0.0,Blue Merle,0.16,49.04,0,7,1,2
ANSL_24212,2010-07-26 00:00:00,2016-06-07 19:12:00,0.0,Tan,0.69,49.71,0,1,1,2
ANSL_6672,2013-11-04 00:00:00,2015-12-04 18:59:00,1.0,White,0.16,29.99,0,7,0,2
ANSL_13623,2014-10-23 00:00:00,2015-11-14 09:00:00,2.0,Calico,0.08,49.19,16,9,1,1
ANSL_18101,2015-12-03 00:00:00,2016-02-17 13:37:00,2.0,Black,0.16,16.35,13,9,0,1
ANSL_44510,2017-10-16 00:00:00,2018-11-06 08:59:00,,Black,0.36,39.31,0,3,2,4
ANSL_4593,2007-11-02 00:00:00,2015-11-28 13:37:00,1.0,Gray,0.75,43.53,0,1,0,2
ANSL_44049,2016-02-24 00:00:00,2017-03-27 15:27:00,1.0,Brown,0.29,17.03,13,9,0,1
ANSL_40254,2018-07-06 00:00:00,2018-10-01 18:18:00,0.0,Torbie,0.76,7.8,0,1,1,1
ANSL_26725,2016-09-14 00:00:00,2017-01-08 18:45:00,0.0,Black,0.6,15.41,0,1,1,1
ANSL_3077,2014-10-30 00:00:00,2015-01-24 18:47:00,0.0,Tan,0.71,34.74,0,1,1,2
ANSL_22789,2015-05-05 00:00:00,2016-05-25 12:04:00,,Gray,0.77,49.09,18,4,2,4
ANSL_13372,2015-06-11 00:00:00,2015-08-01 12:10:00,2.0,Brown Tabby,0.42,16.74,13,9,0,1
ANSL_18793,2015-02-12 00:00:00,2015-05-10 16:58:00,2.0,Brown,0.16,25.45,0,7,0,2
ANSL_36658,2018-07-24 00:00:00,2018-09-29 16:47:00,2.0,Tan,0.43,48.06,13,9,0,2
ANSL_9031,2014-12-18 00:00:00,2015-11-11 19:19:00,1.0,Tricolor,0.41,25.96,0,1,0,2
ANSL_38633,2017-07-21 00:00:00,2018-08-24 11:56:00,0.0,Black,0.76,7.8,13,9,1,2
ANSL_21570,2010-05-09 00:00:00,2015-06-25 16:59:00,0.0,White,0.57,16.35,0,1,1,2
ANSL_2206,2014-08-28 00:00:00,2015-05-21 14:04:00,1.0,Black,0.53,19.8,0,1,0,2
ANSL_43165,2008-09-04 00:00:00,2016-09-28 18:14:00,1.0,Brown,0.3,47.56,13,9,0,2
ANSL_48914,2016-06-13 00:00:00,2016-11-01 17:41:00,1.0,Orange Tabby,0.72,39.28,0,1,0,1
ANSL_6089,2007-04-24 00:00:00,2015-09-30 17:32:00,1.0,Cream,0.19,42.88,0,7,0,2
ANSL_29615,2015-01-22 00:00:00,2017-02-13 09:00:00,2.0,Orange Tabby,0.0,12.71,16,9,0,1
ANSL_42586,2017-12-31 00:00:00,2019-02-27 13:38:00,0.0,Blue,0.57,21.9,13,9,1,2
ANSL_36634,2017-03-26 00:00:00,2017-06-07 17:40:00,1.0,Black,0.62,31.58,0,1,0,2
ANSL_9361,2015-08-10 00:00:00,2015-11-25 12:17:00,1.0,Cream Tabby,0.83,6.08,0,1,0,1
ANSL_21253,2009-09-23 00:00:00,2015-08-29 13:12:00,0.0,Blue Tabby,0.96,38.43,0,7,1,1
ANSL_6326,2015-03-19 00:00:00,2015-06-24 12:37:00,1.0,Blue Tick,0.74,39.71,13,9,0,2
ANSL_7955,2014-08-29 00:00:00,2015-07-24 12:18:00,1.0,White,0.18,38.87,0,1,0,2
ANSL_47217,2015-07-19 00:00:00,2017-08-19 19:15:00,0.0,Black,0.31,30.66,0,1,1,2
ANSL_6296,2015-07-16 00:00:00,2015-08-28 15:36:00,2.0,Orange Tabby,0.08,47.49,13,9,0,1
ANSL_20469,2014-04-03 00:00:00,2015-01-23 17:31:00,0.0,Black,0.42,5.25,0,1,1,2
ANSL_22053,2015-07-07 00:00:00,2015-07-29 15:52:00,,Calico,0.27,48.98,13,9,2,1
ANSL_26201,2015-06-17 00:00:00,2016-07-11 17:11:00,0.0,Chocolate,0.5,5.95,0,1,1,2
ANSL_38296,2018-05-26 00:00:00,2018-12-05 11:18:00,2.0,Buff,0.12,24.02,13,9,0,2
ANSL_28875,2011-09-17 00:00:00,2016-10-09 11:48:00,0.0,Black,0.37,31.18,0,7,1,2
ANSL_46286,2008-03-18 00:00:00,2018-04-20 18:43:00,1.0,Black,0.53,37.12,0,1,0,1
ANSL_10096,2013-08-11 00:00:00,2015-03-10 15:59:00,1.0,Black,0.7,27.53,0,7,0,2
ANSL_1224,2008-03-08 00:00:00,2016-04-02 14:55:00,1.0,Blue,0.22,8.03,13,9,0,1
ANSL_43763,2015-01-14 00:00:00,2017-02-04 11:31:00,,Black,0.99,42.71,15,4,2,4
ANSL_26088,2016-05-27 00:00:00,2016-06-19 18:40:00,,Blue,0.61,25.66,13,9,2,1
ANSL_36064,2006-11-05 00:00:00,2016-11-27 16:40:00,2.0,Black,0.8,10.09,0,7,1,2
ANSL_9955,2014-10-18 00:00:00,2015-01-15 18:24:00,1.0,Tan,0.05,23.82,0,1,0,2
ANSL_8423,2008-12-30 00:00:00,2015-02-11 11:05:00,1.0,Red,0.25,8.47,0,1,0,2
ANSL_46540,2017-08-12 00:00:00,2018-09-09 09:51:00,0.0,Black,0.49,46.49,0,7,1,2
ANSL_13460,2014-01-17 00:00:00,2015-11-18 15:44:00,1.0,Blue,0.62,12.01,0,1,0,2
ANSL_1316,2013-04-29 00:00:00,2015-05-26 11:59:00,1.0,Blue Tabby,0.63,6.58,13,9,0,1
ANSL_6310,2015-02-26 00:00:00,2015-04-16 11:40:00,2.0,Black,0.97,38.2,13,9,1,1
ANSL_30170,2014-10-07 00:00:00,2016-10-29 08:48:00,,Brown,0.83,47.98,15,4,2,4
ANSL_21162,2006-05-09 00:00:00,2015-03-29 12:38:00,1.0,Blue Tick,0.64,28.52,0,7,0,2
ANSL_39089,2016-02-02 00:00:00,2016-09-03 17:55:00,0.0,Blue Tick,0.94,19.49,0,1,1,2
ANSL_31860,2014-01-20 00:00:00,2018-02-18 15:05:00,1.0,Tricolor,0.39,16.43,13,9,0,2
ANSL_48832,2015-05-21 00:00:00,2017-06-13 13:08:00,2.0,White,0.32,19.2,0,7,0,2
ANSL_26602,2016-09-30 00:00:00,2018-03-28 17:25:00,0.0,White,0.24,11.12,0,1,1,2
ANSL_41883,2017-11-10 00:00:00,2017-12-15 18:26:00,,Orange Tabby,0.36,42.78,13,9,2,1
ANSL_45732,2018-09-04 00:00:00,2018-12-29 18:11:00,1.0,Brown Tabby,0.91,46.08,0,1,0,1
ANSL_37718,2017-05-13 00:00:00,2018-06-05 17:19:00,0.0,Black,0.85,7.42,0,7,1,2
ANSL_27130,2018-05-27 00:00:00,2018-08-05 11:49:00,2.0,Black,0.87,37.79,13,9,1,2
ANSL_48573,2015-05-03 00:00:00,2017-05-26 13:06:00,2.0,Blue,0.56,23.17,13,9,1,1
ANSL_4159,2013-07-15 00:00:00,2015-09-12 14:14:00,1.0,Tan,0.23,20.07,13,9,0,2
ANSL_12669,2013-02-01 00:00:00,2015-02-26 17:46:00,1.0,Brown Brindle,0.08,42.82,0,7,0,2
ANSL_26971,2016-05-24 00:00:00,2016-09-08 16:45:00,1.0,Black,0.86,47.36,0,1,0,2
ANSL_43401,2017-10-05 00:00:00,2017-11-11 22:25:00,,Black,0.65,22.09,13,9,2,1
ANSL_21103,2015-08-03 00:00:00,2015-11-24 17:22:00,2.0,Flame Point,0.19,17.03,13,9,0,1
ANSL_34294,2017-06-09 00:00:00,2017-10-02 14:33:00,1.0,Orange Tabby,0.38,29.96,7,1,0,1
ANSL_29000,2016-06-05 00:00:00,2016-09-15 14:31:00,0.0,Brown Tabby,0.83,7.56,0,1,1,1
ANSL_10988,2014-11-15 00:00:00,2015-02-24 17:17:00,1.0,Orange Tabby,0.58,44.2,7,1,0,1
ANSL_21538,2013-02-17 00:00:00,2015-03-10 14:59:00,,Gray,0.45,46.03,15,4,2,4
ANSL_20749,2015-07-11 00:00:00,2015-10-06 12:20:00,0.0,Red,0.11,5.64,0,1,1,2
ANSL_1565,2014-12-03 00:00:00,2015-02-23 15:49:00,2.0,Black,0.47,30.09,15,4,0,1
ANSL_42057,2017-09-09 00:00:00,2018-10-04 18:23:00,1.0,Cream,0.4,32.0,17,9,0,1
ANSL_800,2007-12-12 00:00:00,2016-03-29 11:39:00,2.0,White,0.83,40.34,0,1,1,2
ANSL_14702,2010-05-13 00:00:00,2015-06-02 18:33:00,1.0,Tricolor,0.52,15.83,0,7,0,2
ANSL_30749,2017-08-18 00:00:00,2018-04-09 09:00:00,0.0,Calico Point,0.91,48.44,16,9,1,1
ANSL_6859,2011-09-11 00:00:00,2015-09-08 19:05:00,0.0,Calico,0.8,46.48,13,9,1,1
ANSL_33138,2010-01-02 00:00:00,2017-02-10 11:23:00,1.0,Black,0.58,11.08,0,7,0,2
ANSL_9623,2014-07-29 00:00:00,2015-01-25 13:16:00,1.0,Brown,0.72,31.86,0,1,0,2
